sampler,steps,rtol,nfe,wall_time_sec,mmd_20d,sliced_w2_20d,trajectory_straightness_20d
euler,5,,5,0.2094145491719246,0.01885014074241087,0.6250204178580628,0.0690830785986851
euler,10,,10,0.0037607327103614807,0.015369028988866324,0.5785277152678004,0.06826435832189091
euler,20,,20,0.006899268366396427,0.014307674313858543,0.5299584086246152,0.06691351799977184
euler,50,,50,0.0167180011048913,0.013846859259559948,0.5512249393997602,0.06583673581004194
euler,100,,100,0.03341718949377537,0.013719240561584379,0.5138827937742724,0.06543574905341892
midpoint,5,,10,0.0034844418987631798,0.013714028953385497,0.5374091295511305,0.06394649930797525
midpoint,10,,20,0.0064976392313838005,0.013635906273160081,0.5117267928401691,0.06475391782041967
midpoint,20,,40,0.012748893350362778,0.013612397497502376,0.5404722208822266,0.06495030563418402
midpoint,50,,100,0.031228361651301384,0.013605146152769733,0.5371088081039492,0.06500412956787356
dopri5,adaptive,0.001,26,1.8700291020795703,0.013591042629573228,0.548110632564508,0.0
dopri5,adaptive,1e-05,44,0.036042388528585434,0.013603546957929856,0.5331784792510922,0.0
